Node 0 Routing Table:
Destination	Cost	Next Hop
9		711	9
5		95	5
4		722	5
8		319	5
3		1330	5
6		709	5
1		1287	5
7		190	5
2		415	5

Node 1 Routing Table:
Destination	Cost	Next Hop
6		592	6
8		968	8
3		446	3
4		776	6
9		1374	8
7		1097	8
2		1064	8
5		1192	8
0		1287	8

Node 2 Routing Table:
Destination	Cost	Next Hop
9		310	9
8		96	8
6		486	8
1		1064	8
7		225	8
4		670	8
3		1278	8
5		320	8
0		415	8

Node 3 Routing Table:
Destination	Cost	Next Hop
1		446	1
4		608	4
6		792	4
8		1182	4
9		1331	4
5		1235	4
0		1330	4
7		1311	4
2		1278	4

Node 4 Routing Table:
Destination	Cost	Next Hop
9		723	9
8		574	6
3		608	3
5		627	5
0		722	5
6		184	6
1		776	6
7		703	8
2		670	8

Node 5 Routing Table:
Destination	Cost	Next Hop
7		95	7
4		627	4
0		95	0
9		630	7
8		224	7
3		1235	4
6		614	7
1		1192	7
2		320	7

Node 6 Routing Table:
Destination	Cost	Next Hop
8		390	8
9		796	8
1		592	1
7		519	8
2		486	8
4		184	4
3		792	4
5		614	8
0		709	8

Node 7 Routing Table:
Destination	Cost	Next Hop
8		129	8
6		519	8
5		95	5
4		703	8
0		190	5
9		535	8
3		1311	8
1		1097	8
2		225	8

Node 8 Routing Table:
Destination	Cost	Next Hop
4		574	6
9		406	2
6		390	6
1		968	1
7		129	7
2		96	2
3		1182	6
5		224	7
0		319	7

Node 9 Routing Table:
Destination	Cost	Next Hop
4		723	4
2		310	2
8		406	2
6		796	8
0		711	0
5		630	8
3		1331	4
1		1374	8
7		535	8

Number of rounds to convergence: 3
