Node 0 Routing Table:
Destination	Cost	Next Hop
20		254	20
22		917	22
13		1255	20
26		509	20
16		573	20
2		909	20
14		836	20
5		986	20
8		974	22
15		1160	22
1		1144	20
27		1185	22
17		901	20
10		961	22
4		1191	20
12		879	20
28		1131	20
25		1698	20
23		1093	22
7		753	20
9		589	20
29		934	20
11		1038	20
21		1373	22
6		596	20
18		1586	20
3		1282	20
19		800	20
24		1240	20

Node 1 Routing Table:
Destination	Cost	Next Hop
16		699	12
22		541	10
14		840	14
4		47	4
12		265	12
28		498	28
25		554	25
10		497	10
6		722	12
26		635	12
18		1067	4
15		741	4
2		810	22
13		1454	12
5		1112	12
8		598	22
3		1373	22
21		997	22
23		717	22
7		879	12
9		715	12
19		926	12
29		880	22
11		984	22
27		809	22
17		707	22
20		890	12
0		1144	12
24		946	22

Node 2 Routing Table:
Destination	Cost	Next Hop
22		269	22
14		73	14
13		986	13
5		703	14
8		326	22
6		313	14
23		445	22
7		516	14
17		435	22
16		336	14
9		352	14
29		608	8
11		712	8
27		537	22
20		655	14
1		810	22
4		857	22
12		770	14
28		758	8
25		1115	22
10		313	22
15		512	8
3		999	14
21		725	8
26		400	14
18		1349	14
0		909	14
19		563	14
24		674	8

Node 3 Routing Table:
Destination	Cost	Next Hop
21		376	21
6		686	6
15		723	21
16		709	6
14		926	6
4		1417	21
28		969	21
5		1076	6
1		1373	21
26		773	6
18		1722	6
22		832	21
12		1143	6
25		1678	21
10		876	21
2		999	6
13		1464	6
8		775	21
23		656	21
7		889	6
9		725	6
19		936	6
29		819	21
11		923	21
27		1100	21
17		884	21
20		1028	6
0		1282	6
24		885	21

Node 4 Routing Table:
Destination	Cost	Next Hop
1		47	1
6		769	26
26		682	1
18		1020	18
15		694	15
16		746	26
22		588	1
14		887	1
12		312	1
28		545	1
25		601	1
10		544	1
3		1417	15
5		1159	26
21		1041	15
2		857	1
13		1501	26
8		645	1
23		761	15
19		973	26
20		937	26
7		926	26
9		762	26
29		924	15
11		1028	15
27		856	1
17		754	1
0		1191	26
24		990	15

Node 5 Routing Table:
Destination	Cost	Next Hop
6		390	6
2		703	6
22		907	6
14		630	6
13		1168	6
8		850	6
15		1004	6
16		413	6
4		1159	6
3		1076	6
28		925	6
21		1217	6
1		1112	6
26		477	6
18		1426	6
12		847	6
25		1666	6
10		951	6
